Arquivo,Vertices,Arestas,Densidade,Representacao,Algoritmo,Direcionado,Tempo(ns)
grafos/sample100-1980.gr,100,1980,0.2,Lista,Dijkstra,Dirigido,2164400
grafos/sample100-1980.gr,100,1980,0.2,Matriz,Dijkstra,Dirigido,612360
grafos/sample100-1980.gr,100,1980,0.2,Lista,Bellman-Ford,Dirigido,5237890
grafos/sample100-1980.gr,100,1980,0.2,Matriz,Bellman-Ford,Dirigido,3626710
grafos/sample100-3960.gr,100,3960,0.4,Lista,Dijkstra,Dirigido,834270
grafos/sample100-3960.gr,100,3960,0.4,Matriz,Dijkstra,Dirigido,257650
grafos/sample100-3960.gr,100,3960,0.4,Lista,Bellman-Ford,Dirigido,17238990
grafos/sample100-3960.gr,100,3960,0.4,Matriz,Bellman-Ford,Dirigido,1136670
grafos/sample100-5940.gr,100,5940,0.6,Lista,Dijkstra,Dirigido,1057040
grafos/sample100-5940.gr,100,5940,0.6,Matriz,Dijkstra,Dirigido,264780
grafos/sample100-5940.gr,100,5940,0.6,Lista,Bellman-Ford,Dirigido,5920300
grafos/sample100-5940.gr,100,5940,0.6,Matriz,Bellman-Ford,Dirigido,1686670
grafos/sample100-7920.gr,100,7920,0.8,Lista,Dijkstra,Dirigido,1296020
grafos/sample100-7920.gr,100,7920,0.8,Matriz,Dijkstra,Dirigido,157810
grafos/sample100-7920.gr,100,7920,0.8,Lista,Bellman-Ford,Dirigido,36050350
grafos/sample100-7920.gr,100,7920,0.8,Matriz,Bellman-Ford,Dirigido,1665410
grafos/sample100-9900.gr,100,9900,1.0,Lista,Dijkstra,Dirigido,311930
grafos/sample100-9900.gr,100,9900,1.0,Matriz,Dijkstra,Dirigido,229240
grafos/sample100-9900.gr,100,9900,1.0,Lista,Bellman-Ford,Dirigido,1757170
grafos/sample100-9900.gr,100,9900,1.0,Matriz,Bellman-Ford,Dirigido,1486360
grafos/sample200-7960.gr,200,7960,0.2,Lista,Dijkstra,Dirigido,838820
grafos/sample200-7960.gr,200,7960,0.2,Matriz,Dijkstra,Dirigido,326590
grafos/sample200-7960.gr,200,7960,0.2,Lista,Bellman-Ford,Dirigido,57211610
grafos/sample200-7960.gr,200,7960,0.2,Matriz,Bellman-Ford,Dirigido,12953720
grafos/sample200-15920.gr,200,15920,0.4,Lista,Dijkstra,Dirigido,1949150
grafos/sample200-15920.gr,200,15920,0.4,Matriz,Dijkstra,Dirigido,300960
grafos/sample200-15920.gr,200,15920,0.4,Lista,Bellman-Ford,Dirigido,141667110
grafos/sample200-15920.gr,200,15920,0.4,Matriz,Bellman-Ford,Dirigido,21319350
grafos/sample200-23880.gr,200,23880,0.6,Lista,Dijkstra,Dirigido,2899560
grafos/sample200-23880.gr,200,23880,0.6,Matriz,Dijkstra,Dirigido,353680
grafos/sample200-23880.gr,200,23880,0.6,Lista,Bellman-Ford,Dirigido,388013150
grafos/sample200-23880.gr,200,23880,0.6,Matriz,Bellman-Ford,Dirigido,28321370
grafos/sample200-31840.gr,200,31840,0.8,Lista,Dijkstra,Dirigido,3958320
grafos/sample200-31840.gr,200,31840,0.8,Matriz,Dijkstra,Dirigido,372290
grafos/sample200-31840.gr,200,31840,0.8,Lista,Bellman-Ford,Dirigido,665662840
grafos/sample200-31840.gr,200,31840,0.8,Matriz,Bellman-Ford,Dirigido,27024840
grafos/sample200-39800.gr,200,39800,1.0,Lista,Dijkstra,Dirigido,5044070
grafos/sample200-39800.gr,200,39800,1.0,Matriz,Dijkstra,Dirigido,477460
grafos/sample200-39800.gr,200,39800,1.0,Lista,Bellman-Ford,Dirigido,859749120
grafos/sample200-39800.gr,200,39800,1.0,Matriz,Bellman-Ford,Dirigido,23837530
grafos/sample500-49900.gr,500,49900,0.2,Lista,Dijkstra,Dirigido,552250
grafos/sample500-49900.gr,500,49900,0.2,Matriz,Dijkstra,Dirigido,973910
grafos/sample500-49900.gr,500,49900,0.2,Lista,Bellman-Ford,Dirigido,49894650
grafos/sample500-49900.gr,500,49900,0.2,Matriz,Bellman-Ford,Dirigido,214929530
grafos/sample500-99800.gr,500,99800,0.4,Lista,Dijkstra,Dirigido,11808660
grafos/sample500-99800.gr,500,99800,0.4,Matriz,Dijkstra,Dirigido,1454930
grafos/sample500-99800.gr,500,99800,0.4,Lista,Bellman-Ford,Dirigido,5526067410
grafos/sample500-99800.gr,500,99800,0.4,Matriz,Bellman-Ford,Dirigido,352068560
grafos/sample500-149700.gr,500,149700,0.6,Lista,Dijkstra,Dirigido,11278890
grafos/sample500-149700.gr,500,149700,0.6,Matriz,Dijkstra,Dirigido,1773230
grafos/sample500-149700.gr,500,149700,0.6,Lista,Bellman-Ford,Dirigido,4939812430
grafos/sample500-149700.gr,500,149700,0.6,Matriz,Bellman-Ford,Dirigido,443751990
grafos/sample500-199600.gr,500,199600,0.8,Lista,Dijkstra,Dirigido,1868390
grafos/sample500-199600.gr,500,199600,0.8,Matriz,Dijkstra,Dirigido,1913170
grafos/sample500-199600.gr,500,199600,0.8,Lista,Bellman-Ford,Dirigido,510955150
grafos/sample500-199600.gr,500,199600,0.8,Matriz,Bellman-Ford,Dirigido,434375600
grafos/sample500-249500.gr,500,249500,1.0,Lista,Dijkstra,Dirigido,1875350
grafos/sample500-249500.gr,500,249500,1.0,Matriz,Dijkstra,Dirigido,1677220
grafos/sample500-249500.gr,500,249500,1.0,Lista,Bellman-Ford,Dirigido,614197480
grafos/sample500-249500.gr,500,249500,1.0,Matriz,Bellman-Ford,Dirigido,380297570
